name,type,cuisine,vibe (separate multiple with ;),rating (unused - left blank),note,amapLink,dianpingLink,igLink,websiteLink
J.Boroski,Bar,,Something fun,,"No menu, tailors each drink to the guest’s preference; dark, candlelit spaces decorated with preserved bugs",,,https://www.instagram.com/jboroskishanghai/?hl=en,https://rachelgouk.com/shanghai-cocktail-bar-j-boroski/
Root Down,Bar,,,,Plays vinyl,,,,https://rachelgouk.com/root-down-cocktails-vinyl-great-ambience/
Union Trading Company,Bar,,,,Long-running cocktail bar in SH,,,,https://www.theworlds50best.com/discovery/Establishments/China/Shanghai/Union-Trading-Company.html
Pudao wines ,Bar,,Soft afternoon,,"Wine bar/wine shop; perfect for grabbing a bottle and chilling on the Rooftop Terrace",,,,https://pudaowines.com/en/about-pudao/
Justgrapes ,Bar,,Soft afternoon,,"Wine bar, go-to spot to sip",,,,https://justgrapes.cn/
BOTANIC LAB (植物研究所),Bar,,,,,,,,https://www.trip.com/restaurant/china/shanghai/detail/restaurant-143190608/
Penicillin Shanghai,Bar,,,,Reopened in 2026; eco-conscious bar,,,,https://penicillinbarsha.com
Pony Up,Bar,,,,Neighborhood bar ,,,,https://rachelgouk.com/listings/pony-up/
Dead Poet,Bar,,,,"If you're in the neighborhood, it's worth stopping by, but not travel for",,,,https://rachelgouk.com/listings/dead-poet/
Suzu Bar,Bar,,,,Japanese style,,,https://www.instagram.com/suzu_bar/,https://www.theworlds50best.com/discovery/Establishments/China/Shanghai/Suzu-Bar.html
SOMETHING dining & bar,Cafe/Light bites,,Brunch,,Greenhouse-style ,,,,https://www.tripadvisor.com.sg/Restaurant_Review-g308272-d26440743-Reviews-SOMETHING_dining_bar-Shanghai.html
Ginger ,Chinese,,,,Modern Asian Bistro,,,,https://rachelgouk.com/ginger-modern-asian-bistro-shanghai-institution/
Bar Vena ,Bar,,,,,,,,https://english.shanghai.gov.cn/en-FirstStores/20260128/7272bffab0814ae6adf3cb19cf4f578a.html
Bar Blanc,Bar,,,,,,,,https://www.smartshanghai.com/venue/34069/bar_blanc
Lieben,Bar,,,,,,,https://www.instagram.com/liebenshanghai/,
Peekazoo,Bar,,,,Sister bar of Lieben,,,https://www.instagram.com/peekazooshanghai/,
YELLO (w) ,Bar,,,,,,,https://www.instagram.com/reel/DSo-CVMkXOn/,
Bar S-Otto,Bar,,,,,,,,https://rachelgouk.com/listings/bar-sotto/
The Press,Cafe/Light bites,,Brunch; Soft afternoon,,"Used to be the headquarters of Shen Bao, China's longest running daily newspaper; average food&drinks, worth it for the history/story  ",,,,https://www.smartshanghai.com/venue/12265/the_press
Somewhere Special,,,,,"No name. Not on the map. The softest, coziest, tiny corner of the city. A place you take someone special and share all the things you don't say out loud. (Ask me)"
